# List of linedef types for Doom, sorted into classes. The list doesn't
# need to be in any particular order, tkwadcad will present the list entries
# in the same order than in this file.
#
# Meaning of the trigger flags:
# 1st char:	N no sector tag required, local doors
#		- sector tag required
# 2nd char:	S this is a switch
#		G activated by a gunshot
#		W activated by walking over the linedef
# 3rd char:	R can be activated repeatedly
#		1 can only be activated once
# 4th char:	M a monster can activate the linedef
#		- only players can activate the linedef
#
# No	Class	Trigger	Speed	Wait	Description
0	Default	----	-	-	: Default, no function

# Local Doors
1	LDoor	NSRM	Medium	4	: Opens and closes door
26	LDoor	NSR-	Medium	4	: Opens and closes blue key door
27	LDoor	NSR-	Medium	4	: Opens and closes yellow key door
28	LDoor	NSR-	Medium	4	: Opens and closes red key door
31	LDoor	NS1-	Medium	-	: Opens door
32	LDoor	NS1-	Medium	-	: Opens blue key door
33	LDoor	NS1-	Medium	-	: Opens red key door
34	LDoor	NS1-	Medium	-	: Opens yellow key door

# Remote Doors
2	RDoor	-W1-	Medium	4	: Opens and closes door
3	RDoor	-W1-	Medium	-	: Closes door
4	RDoor	-W1M	Medium	4	: Opens and closes door
16	RDoor	-W1-	Medium	30	: Closes door and opens later
29	RDoor	-S1-	Medium	4	: Opens and closes door
42	RDoor	-SR-	Medium	-	: Closes door
46	RDoor	-GR-	Medium	-	: Opens door
50	RDoor	-S1-	Medium	-	: Closes door
61	RDoor	-SR-	Medium	-	: Opens door
63	RDoor	-SR-	Medium	4	: Opens and closes door
75	RDoor	-WR-	Medium	-	: Closes door
76	RDoor	-WR-	Medium	30	: Closes door and opens later
86	RDoor	-WR-	Medium	-	: Opens door
90	RDoor	-WR-	Medium	4	: Opens and closes door
103	RDoor	-S1-	Medium	-	: Opens door

# Ceilings, not crushing
40	Ceil	-W1-	Slow	-	: Moves up to highest adjacent ceiling
41	Ceil	-S1-	Slow	-	: Moves down to floor
43	Ceil	-SR-	Slow	-	: Moves down to floor
44	Ceil	-W1-	Slow	-	: Moves down to 8 units above floor
72	Ceil	-WR-	Slow	-	: Moves down to 8 units above floor

# Crushing ceilings
6	CrCeil	-W1-	Medium	Lock	: Start crushing ceiling, inflict pain quickly
57	CrCeil	-W1-	-	Lock	: Stop crushing ceiling
73	CrCeil	-WR-	Slow	Lock	: Start crushing ceiling, inflict pain slowly
74	CrCeil	-WR-	-	Lock	: Stop crushing ceiling
77	CrCeil	-WR-	Medium	Lock	: Start crushing ceiling, inflict pain quickly

# Floors
5	Floor	-W1-	Slow	-	: Moves up to lowest adjacent ceiling
9	Floor	-S1-	Slow	-	: Donut effect
18	Floor	-S1-	Slow	-	: Moves up to highest adjacent floor
19	Floor	-W1-	Slow	-	: Moves down to highest adjacent floor
23	Floor	-S1-	Slow	-	: Moves down to lowest adjacent floor
24	Floor	-G1-	Slow	-	: Moves up to lowest adjacent ceiling
30	Floor	-W1-	Slow	-	: Moves up to shortest lower texture
36	Floor	-W1-	Fast	-	: Moves down to 8 units above highest adjacent floor
37	Floor	-W1-	Slow	-	: Moves down to lowest adjacent floor
