# List of linedef types for XDoom based on Doom2 linedefs, sorted into classes.
# The list doesn't need to be in any particular order, tkwadcad will present
# the list entries in the same order than in this file.
#
# Meaning of the trigger flags:
# 1st char:	N no sector tag required, local doors
#		- sector tag required
# 2nd char:	S this is a switch
#		G activated by a gunshot
#		W activated by walking over the linedef
# 3rd char:	R can be activated repeatedly
#		1 can only be activated once
# 4th char:	M a monster can activate the linedef
#		- only players can activate the linedef
#
# No	Class	Trigger	Speed	Wait	Description
0	Default	----	-	-	: Default, no function

# Local Doors
1	LDoor	NSRM	Medium	4	: Opens and closes door
26	LDoor	NSR-	Medium	4	: Opens and closes blue key door
27	LDoor	NSR-	Medium	4	: Opens and closes yellow key door
28	LDoor	NSR-	Medium	4	: Opens and closes red key door
31	LDoor	NS1-	Medium	-	: Opens door
32	LDoor	NS1-	Medium	-	: Opens blue key door
33	LDoor	NS1-	Medium	-	: Opens red key door
34	LDoor	NS1-	Medium	-	: Opens yellow key door
117	LDoor	NSR-	Turbo	4	: Opens and closes door
118	LDoor	NS1-	Turbo	-	: Opens door
300	LDoor	NSR-	Medium	4	: Opens and closes sliding door

# Remote Doors
2	RDoor	-W1-	Medium	4	: Opens and closes door
3	RDoor	-W1-	Medium	-	: Closes door
4	RDoor	-W1M	Medium	4	: Opens and closes door
16	RDoor	-W1-	Medium	30	: Closes door and opens later
29	RDoor	-S1-	Medium	4	: Opens and closes door
42	RDoor	-SR-	Medium	-	: Closes door
46	RDoor	-GR-	Medium	-	: Opens door
50	RDoor	-S1-	Medium	-	: Closes door
61	RDoor	-SR-	Medium	-	: Opens door
63	RDoor	-SR-	Medium	4	: Opens and closes door
75	RDoor	-WR-	Medium	-	: Closes door
76	RDoor	-WR-	Medium	30	: Closes door and opens later
86	RDoor	-WR-	Medium	-	: Opens door
90	RDoor	-WR-	Medium	4	: Opens and closes door
99	RDoor	-SR-	Turbo	-	: Opens blue key door
103	RDoor	-S1-	Medium	-	: Opens door
105	RDoor	-WR-	Turbo	4	: Opens and closes door
106	RDoor	-WR-	Turbo	-	: Opens door
107	RDoor	-WR-	Turbo	-	: Closes door
108	RDoor	-W1-	Turbo	4	: Opens and closes door
109	RDoor	-W1-	Turbo	-	: Opens door
110	RDoor	-W1-	Turbo	-	: Closes door
111	RDoor	-S1-	Turbo	4	: Opens and closes door
112	RDoor	-S1-	Turbo	-	: Opens door
113	RDoor	-S1-	Turbo	-	: Closes door
114	RDoor	-SR-	Turbo	4	: Opens and closes door
115	RDoor	-SR-	Turbo	-	: Opens door
116	RDoor	-SR-	Turbo	-	: Closes door
133	RDoor	-S1-	Turbo	-	: Opens blue key door
134	RDoor	-SR-	Turbo	-	: Opens red key door
135	RDoor	-S1-	Turbo	-	: Opens red key door
136	RDoor	-SR-	Turbo	-	: Opens yellow key door
137	RDoor	-S1-	Turbo	-	: Opens yellow key door
175	RDoor	-S1-	Medium	30	: Closes door and opens later
196	RDoor	-SR-	Medium	30	: Closes door and opens later
350	RDoor	-W1-	Medium	-	: Opens door silent
351	RDoor	-S1-	Medium	-	: Opens door silent
